token_id,speaker,time,vowel,word,duration,F1_mid,F2_mid,F3_mid,F1_avg_all,F2_avg_all,F3_avg_all,F1_avg_third_2,F2_avg_third_2,F3_avg_third_2,F1_avg_third_1,F2_avg_third_1,F3_avg_third_1,F1_avg_third_3,F2_avg_third_3,F3_avg_third_3,F1_05,F1_10,F1_15,F1_20,F1_25,F1_30,F1_35,F1_40,F1_45,F1_50,F1_55,F1_60,F1_65,F1_70,F1_75,F1_80,F1_85,F1_90,F1_95,F2_05,F2_10,F2_15,F2_20,F2_25,F2_30,F2_35,F2_40,F2_45,F2_50,F2_55,F2_60,F2_65,F2_70,F2_75,F2_80,F2_85,F2_90,F2_95,F3_05,F3_10,F3_15,F3_20,F3_25,F3_30,F3_35,F3_40,F3_45,F3_50,F3_55,F3_60,F3_65,F3_70,F3_75,F3_80,F3_85,F3_90,F3_95
WendyJ_101,WendyJ,62.32031066,E,shed,149.6893383,806.9472081,2043.106182,2993.344428,740.1580435,2066.347985,2995.725161,806.6966313,2054.925034,2992.67729,640.7648471,2120.548682,2990.364545,773.0126521,2023.570238,3004.13365,523.7183932,569.6564099,615.0024509,663.157576,724.0091895,786.9821111,805.903071,803.2466881,804.6142359,806.9472081,808.4342823,811.038647,806.8689676,802.2469649,795.4183243,787.1944211,777.3256571,767.3902556,741.5226272,2145.018775,2135.539166,2130.180028,2097.220376,2087.617949,2099.909487,2106.753952,2088.275681,2055.424589,2043.106182,2047.235799,2025.922522,2022.355769,2017.874507,2016.985168,2024.1705,2055.521356,2069.721465,2002.113625,2968.05683,2982.219179,2983.530854,2983.184585,2992.70905,3006.401894,3015.482646,2991.911117,2978.786447,2993.344428,2988.251989,2991.596689,2994.8358,2993.597652,3005.458955,3005.913216,3005.574069,3005.842014,3006.697805
WendyJ_102,WendyJ,65.45970026,E,head,100.299739,833.0780125,2121.556895,3041.615554,821.267893,2070.118582,3006.420066,834.5334187,2124.801324,3047.709259,897.8360848,1948.964632,2925.340174,731.4341755,2136.589789,3046.210767,896.4328698,895.5082166,899.1040288,902.3192573,901.9556559,891.4348958,880.1384828,866.264185,849.8459627,833.0780125,818.2514199,804.2769777,789.3721254,773.9209546,760.3399173,753.1514867,739.2104678,715.2405256,680.295575,1860.718924,1902.289888,1925.440285,1997.908342,2040.413268,2081.093507,2105.468771,2117.842641,2122.167832,2121.556895,2129.315713,2136.015746,2137.971226,2135.629237,2133.317252,2138.271382,2140.242047,2141.070428,2136.849686,2917.178151,2938.822014,2913.991182,2903.422301,2950.951748,2976.002531,2997.40472,3014.58756,3028.419923,3041.615554,3068.862836,3091.211067,3084.31437,3056.174132,3044.252999,3059.858322,3059.815868,3052.575423,3029.317609
WendyJ_103,WendyJ,68.61,eI,sleighed,210,612.8118409,2255.366778,3126.602679,615.1699752,2107.104266,3180.831915,617.2031525,2233.405434,3144.011273,666.3282496,1823.688474,3260.587257,561.9785234,2264.218891,3137.897216,668.8230897,675.9924723,671.1936267,671.7963053,663.4069502,657.5557916,646.3368642,636.0737438,621.001877,612.8118409,609.2605281,601.9290665,593.7674136,590.7635734,585.1369456,575.050915,565.678362,555.0009454,533.6970325,1540.762102,1730.347014,1810.304903,1918.390766,2035.261141,2099.45598,2146.07961,2193.012787,2234.892057,2255.366778,2263.119268,2268.760612,2262.764078,2257.886259,2255.918651,2242.14435,2268.28852,2297.92855,2270.007861,3391.648144,3347.806747,3271.342129,3190.608159,3150.609773,3145.131303,3148.130168,3147.267805,3133.810816,3126.602679,3144.83412,3156.7479,3147.015062,3118.977587,3128.222668,3149.359258,3122.319653,3133.914333,3147.992567
WendyJ_104,WendyJ,71.50958082,eI,sleigh,153.8489096,674.1452131,2258.953002,3177.445856,667.7506835,2230.632609,3192.236205,673.2294387,2271.818132,3192.216749,709.6958003,2089.254197,3230.858821,620.3268115,2330.825498,3153.633046,722.0961174,717.7683242,713.9063447,707.3604844,697.8466159,693.5105943,690.8894162,686.5290337,679.7463162,674.1452131,667.5680531,661.6096103,650.7148426,646.507301,630.3554209,610.4846282,619.3773357,620.2386708,605.9280862,1978.539815,2027.711606,2067.895596,2132.449831,2191.185521,2208.205038,2229.039018,2255.697938,2262.868843,2258.953002,2272.925702,2299.822133,2321.181938,2322.86988,2307.576546,2270.972171,2311.049657,2370.371692,2397.444962,3256.450187,3237.091146,3240.50225,3232.959635,3193.994537,3204.797575,3187.494991,3185.32033,3191.484354,3177.445856,3202.847584,3212.48849,3180.034265,3172.231164,3168.705362,3148.961058,3148.550779,3157.928965,3129.561725
WendyJ_105,WendyJ,75.1793668,eI,slayed,190.6331966,649.5813222,2239.534336,3083.281279,654.3696194,2129.585514,3115.242395,658.8144875,2208.799565,3075.313674,673.601377,1953.108445,3212.366881,630.6929938,2226.848534,3058.046631,659.0249604,674.8414286,684.1376707,688.6399454,680.7223595,669.5852135,668.0299428,665.0837902,657.9308232,649.5813222,643.7832756,652.2725877,676.9331912,667.9331846,662.3938039,646.5244438,627.273282,608.3543143,592.321392,1763.827588,1854.448583,1966.636281,2010.641438,2107.733628,2142.691662,2119.217605,2161.45214,2195.847462,2239.534336,2255.815726,2249.027075,2236.087103,2206.024197,2210.998069,2242.854609,2241.265818,2220.737365,2252.435426,3323.74046,3240.638984,3195.693231,3163.836826,3150.581616,3122.077514,3096.489597,3108.050512,3082.878839,3083.281279,3057.691459,3050.936844,3059.093446,3057.413843,3035.435292,3013.865541,3022.004556,3069.671074,3152.053309
WendyJ_106,WendyJ,78.16,E,wet,94.87547065,897.2998705,1715.149287,2948.735129,859.7102736,1677.670738,3063.674944,894.6622636,1698.945253,2969.676533,791.0575719,1376.295977,3138.433601,893.4109854,1957.770982,3082.914699,728.968303,756.9504377,784.9776653,810.5435677,835.9774686,857.4676631,874.426299,886.5042208,892.4970658,897.2998705,901.0371044,903.7421346,905.7349222,908.7101163,909.6394422,906.2582308,897.0023418,883.9793371,870.1229303,1242.540474,1295.796909,1344.798642,1415.79442,1485.746618,1535.126738,1569.694134,1599.975398,1660.616237,1715.149287,1753.172967,1767.109092,1819.633823,1861.140468,1886.943719,1899.011835,1960.05836,2020.337049,2067.946795,3152.946927,3151.082247,3154.600978,3144.631661,3135.366583,3093.571314,3028.068774,2955.381215,2940.978011,2948.735129,2951.277528,2926.599743,3049.672767,3124.118916,3119.883042,3029.018156,3007.333079,3059.229034,3117.404832
WendyJ_107,WendyJ,81.14087208,eI,freight,171.782218,705.1405882,2367.93097,3189.64395,677.9785884,2300.467954,3185.702015,710.8746953,2386.54335,3174.926282,739.6545035,2202.884736,3150.14024,583.4065665,2311.975775,3232.039524,756.8265167,747.8083628,735.6830518,736.7582303,733.6145041,729.4908913,723.6937984,721.1228143,708.2979697,705.1405882,712.2161046,707.6661467,697.9207352,680.8650176,651.1054814,609.8136888,573.3126833,532.0141259,503.8122782,2114.449885,2162.079204,2188.639437,2205.074147,2270.663892,2330.172723,2382.909159,2398.33086,2399.679241,2367.93097,2364.735207,2380.22181,2419.403431,2441.418985,2408.487349,2325.042221,2230.018478,2237.782641,2229.11682,2926.236351,3252.695329,3271.600271,3197.115927,3183.886808,3154.104609,3096.834943,3167.754389,3140.210259,3189.64395,3194.024948,3199.993159,3218.623478,3247.795147,3267.641171,3235.206083,3196.772427,3221.558485,3233.098273
WendyJ_108,WendyJ,84.00686869,E,pet,113.131314,905.4550846,1769.790467,2758.46362,896.7308268,1709.784571,2952.55564,904.833167,1813.078218,2854.140257,920.6475796,1323.244931,2963.890342,864.7117337,1993.030564,3039.63632,921.4954423,940.0368792,931.4353448,920.8957745,916.9662861,917.1113026,916.4581203,911.731492,908.5111076,905.4550846,900.5905469,897.342808,894.0008155,892.2118323,887.9858994,876.9994976,861.4861634,849.4049928,840.6154768,1166.167022,1038.79813,1179.437343,1299.205492,1411.119227,1607.246191,1780.571678,1763.666432,1728.709191,1769.790467,1818.01777,1896.110918,1948.539438,1952.769639,1962.125064,1995.270245,2022.000508,2018.861498,2002.772803,2975.098526,3050.022198,3097.505847,3022.580669,2874.02158,2787.890109,2786.087027,2767.345723,2796.890547,2758.46362,2883.050899,2974.354602,3021.908137,3030.812985,3025.333848,3034.868784,3057.67987,3058.853328,3029.591067
WendyJ_109,WendyJ,86.71,i:,heat,180,383.5096652,3028.678683,3337.745633,395.0965478,2750.03917,3258.159112,387.1309911,3047.878252,3335.418509,441.8006585,2699.285656,3136.792037,356.3579937,2502.953602,3302.266791,454.9575025,446.5319089,442.0738271,420.391599,409.5800308,407.5307504,402.1099381,396.9864327,390.7378505,383.5096652,380.6953373,378.143278,378.3464354,369.7130264,353.9717498,351.4707235,340.6330763,344.0821022,377.2190819,2623.005217,2687.727082,2680.001672,2354.3221,2885.479603,3016.059124,3022.239736,3017.557986,3013.66095,3028.678683,3049.976987,3086.956465,3125.881448,3065.086377,2829.038033,2592.742003,2829.25423,2123.528985,1874.874278,3196.704959,3035.34509,3018.436496,3094.318094,3123.817451,3309.08268,3357.420649,3385.971378,3348.651884,3337.745633,3320.396932,3306.591315,3291.060257,3288.122875,3310.105151,3302.828061,3308.838385,3279.630643,3320.272483
WendyJ_110,WendyJ,89.68,eI,sleighed,180,641.8252235,2260.166508,3264.598838,624.2252761,2085.377149,3267.109378,635.9516858,2221.980354,3236.910773,667.8652409,1791.25208,3358.4150760000002,568.8589017,2242.899011,3206.002286,669.1551122,671.1532362,671.7366513,671.6722631,664.6604258,656.2447927,648.81905,647.0345032,642.9823487,641.8252235,634.5718353,622.6259668,612.8125998,603.7471079,593.2880934,581.0640856,565.907063,551.6868825,539.4884535,1511.083671,1682.737753,1813.656672,1897.759626,1977.746309,2042.063678,2095.829485,2209.204469,2249.320947,2260.166508,2253.098877,2232.700968,2236.693554,2262.618987,2251.084654,2290.830328,2323.211181,2216.608643,2158.009712,3458.976485,3378.371274,3352.275549,3322.301248,3288.548313,3276.334413,3257.729906,3259.781509,3248.396658,3264.598838,3222.539856,3227.015724,3187.41774,3206.212449,3220.620766,3253.95501,3250.543501,3165.290649,3155.135678
WendyJ_111,WendyJ,92.47,i:,wheat,144.8999627,384.2619074,3000.461909,3164.426174,390.8328286,2711.488343,3275.871591,384.8073513,3023.211852,3307.476623,412.0370941,2091.901805,3180.025892,375.6540404,3019.351372,3340.112258,451.1668551,430.4953817,406.4933452,393.1282025,387.5627892,388.9723823,397.2062701,397.8466634,392.7337655,384.2619074,376.7223545,372.1223537,373.3108395,375.3840287,371.8042443,370.6273207,401.7865678,400.6557482,339.7821092,1314.953319,1764.361787,2129.663578,2344.227346,2583.966995,2746.242239,2829.936751,2890.343803,3038.35145,3000.461909,2981.662806,3183.397218,3249.673992,3265.392407,3257.936401,3211.775672,3226.195109,2991.828127,2381.118833,3226.34046,3151.522838,3128.696313,3138.423653,3185.255385,3202.011818,3222.362274,3208.531594,3136.763426,3164.426174,3198.176344,3786.898073,3449.065797,3406.601555,3410.583129,3461.405342,3297.520092,3270.432238,3231.843639
WendyJ_112,WendyJ,95.32107555,E,let,92.4981174,885.9827467,1743.864126,3257.271152,861.3632417,1702.065956,3266.988289,882.0394258,1748.47143,3248.635934,828.7303941,1424.084854,3330.234404,873.3199051,1933.641583,3222.094528,786.0957311,808.3751372,829.1489425,847.2879239,860.1741112,866.55753,872.1927627,875.917819,879.9349804,885.9827467,887.365467,886.5136053,885.6265905,887.5185053,887.3866912,881.9542193,873.7459033,867.9065416,854.0751907,1252.116087,1326.587199,1421.731321,1483.844714,1537.555509,1594.295151,1647.437945,1696.894304,1732.096342,1743.864126,1770.189268,1805.257872,1838.139105,1854.650249,1886.392094,1915.421666,1939.631098,1956.444916,2009.372311,3368.851808,3351.906903,3327.920775,3315.01776,3305.130502,3294.303644,3280.994372,3266.890495,3257.458571,3257.271152,3242.509065,3225.161469,3211.590904,3210.261721,3221.036632,3232.822491,3236.983582,3216.729723,3216.433157
WendyJ_113,WendyJ,98.08031066,eI,wade,179.6893383,605.6069989,2478.299748,3161.494166,589.1835128,2427.042089,3148.995061,607.0885211,2466.546284,3143.776462,584.8860986,2291.26774,3122.623763,575.5759187,2523.312243,3180.584958,570.4916732,574.9635717,580.7370247,588.3493743,592.8588606,605.8770337,610.7771534,611.0528681,607.0027136,605.6069989,606.6920336,606.5101462,601.7519464,595.6588116,589.4195563,586.3026398,580.4670101,569.11532,552.8041329,2250.212147,2295.888255,2316.947897,2298.816345,2337.529664,2383.955779,2419.349913,2427.107663,2437.845988,2478.299748,2495.370099,2495.7375,2513.3214160000002,2543.665104,2563.807729,2538.695971,2542.903323,2530.689733,2485.44239,3112.185521,3123.507329,3126.810803,3123.699087,3127.8137,3120.668154,3135.250662,3133.577468,3148.376111,3161.494166,3141.728867,3146.422562,3142.322353,3159.565514,3176.17666,3195.136651,3225.794419,3195.991227,3157.377844
WendyJ_114,WendyJ,100.8391388,E,pet,80.22795897,884.3089148,1993.792685,3034.305196,864.442776,1933.776318,3079.743904,883.5678797,1977.376784,3050.172132,920.9352379,1831.418041,3058.781349,788.8252105,1992.534128,3130.278232,918.8040896,926.4482836,926.7079823,924.4287216,920.2335134,915.3165964,909.8260705,902.6242711,894.0213727,884.3089148,875.6772528,865.1265312,852.1525126,835.4309823,817.9908185,800.0823975,778.6242019,759.791774,754.9020345,1765.265386,1826.135061,1849.167124,1859.214494,1859.526505,1900.107374,1955.946696,1979.795951,1991.574028,1993.792685,1975.731426,1968.332934,1974.398876,1985.955153,1995.398142,1998.97584,2005.52892,2005.964926,1979.955188,3044.298491,3041.755479,3052.083328,3066.411591,3082.674659,3079.1964,3064.806894,3039.984474,3030.909478,3034.305196,3042.946,3060.800436,3090.289407,3104.796022,3112.928926,3111.946253,3133.067075,3155.412018,3157.17194
WendyJ_115,WendyJ,103.8,i:,tree,140.180671,428.884915,2755.088527,3205.791483,454.5991816,2720.567057,3145.034419,436.9957976,2743.714945,3160.620858,532.9522969,2432.193002,3102.823644,393.8494504,2985.793223,3171.658755,526.3331454,538.0600888,563.9356298,550.3870923,522.7861715,506.298738,482.8273014,459.5269043,440.4890079,428.884915,421.8227298,416.9927515,411.8876963,405.60365,401.8394729,396.7128495,392.4133323,388.873686,383.2214668,2238.160407,2333.964978,2391.242917,2445.428264,2578.314031,2671.940601,2700.750348,2746.498079,2764.045938,2755.088527,2737.577359,2715.143667,2796.514049,2876.151302,2949.922192,3067.857941,2994.652064,3036.68335,3033.975725,3268.852898,3171.897554,3036.196927,2958.479874,2943.63416,3024.951314,3051.535787,3072.304753,3159.230155,3205.791483,3228.345226,3218.034599,3179.157504,3154.637936,3134.060252,3126.721089,3217.682399,3158.147413,3171.532486
WendyJ_116,WendyJ,106.58,eI,weight,210,438.9099378,2231.239366,3182.938263,552.6270508,2220.495903,3126.162621,483.9925191,2354.21375,3113.73936,777.5166147,1825.238283,3108.52534,396.3720186,2482.035678,3156.223162,806.899064,819.2529426,799.8686494,787.5129259,762.9290085,705.0624093,635.7824411,584.6835927,513.6873996,438.9099378,420.1286539,406.3292588,402.0256029,396.057161,397.3180393,377.5172793,400.6085471,416.7207278,393.8533398,1370.176754,1645.752126,1821.046932,2013.625776,2126.471218,2245.081172,2327.685355,2390.323911,2250.521681,2231.239366,2325.404698,2332.096721,2671.101228,2729.50235,2679.179092,2656.315128,2353.348636,2231.807667,2303.352807,3196.639818,3139.152512,3118.040508,3077.351383,3066.816521,2998.738032,2947.064409,2986.740959,3092.747544,3182.938263,3179.775092,3206.953223,3185.13784,3147.472183,3167.168264,3138.007387,3116.35868,3103.194376,3218.270792
WendyJ_117,WendyJ,109.4637037,eI,fray,186.8839515,714.9625284,2361.965004,3080.364327,701.1728345,2278.301167,3194.030894,712.3216776,2354.395176,3104.935312,714.718365,2139.500488,3305.392538,676.4784607,2341.007837,3171.764834,711.3525316,709.7858411,717.4977568,719.8266932,718.2811993,713.7200741,719.4530029,718.3857483,716.0232346,714.9625284,712.3132522,703.7290127,701.7171266,704.2110065,705.2991185,691.1208603,675.2649398,650.631327,644.5125069,2017.633458,2052.191737,2078.30028,2197.577633,2263.194485,2256.838382,2327.714173,2394.380797,2406.868068,2361.965004,2334.977731,2329.634024,2310.098253,2309.738493,2330.104476,2342.833142,2353.600377,2359.022497,2354.640251,3133.165249,3325.053877,3227.752965,3260.587077,3190.588266,3291.72087,3142.474232,3094.003163,3077.370033,3080.364327,3087.3618970000002,3128.774157,3125.107675,3143.541892,3166.520904,3156.276464,3140.802039,3201.290628,3206.706059
WendyJ_118,WendyJ,112.1,eI,weigh,190,728.9711844,2307.046838,3045.040249,665.0530915,2296.722806,3037.706855,718.7879996,2331.142142,3027.64053,777.6290964,1780.786853,3021.774717,498.7421784,2778.239423,3063.705319,775.0664304,774.4600326,780.1007462,794.3087516,791.8264387,788.9733653,778.1890775,766.662549,750.7145627,728.9711844,704.7168815,674.5908834,621.3350934,566.3193037,529.6317523,501.8792131,481.0673612,463.3155977,453.7304025,1303.858754,1707.345313,1821.720492,1963.080611,2041.166783,2106.337055,2175.206223,2191.465372,2266.969343,2307.046838,2343.451137,2447.336938,2590.438947,2632.035489,2696.510879,2782.669436,2884.197064,2854.425582,2826.919943,3077.665458,3027.431914,3029.227072,3000.240837,2965.114948,2975.537212,3008.896489,3023.425261,3025.03764,3045.040249,3040.857254,3025.88175,3023.350482,3034.000654,3050.863756,3028.323628,2952.540157,3113.161728,3163.096235
