target_id,speaker,sex,dob,city_born,lexset,word,start,end,pre_seg,fol_seg,F1,F2,F3
2946,GraceG,F,1994,Manchester,STRUT,but,781.893,782.053,B,T,936.5,1772.4,2835.2
2947,GraceG,F,1994,Manchester,FLEECE,need,782.283,782.373,N,D,444.7,2751.1,3418.7
2948,GraceG,F,1994,Manchester,PRICE,i,786.083,786.173,Z,N,798.8,1754.6,2978.1
2949,GraceG,F,1994,Manchester,DRESS,wear,786.963,787.132,W,R,923,1708.9,2699.9
2950,GraceG,F,1994,Manchester,GOOSE,boots,789.083,789.273,B,T,477.7,2282.9,2923.2
2951,GraceG,F,1994,Manchester,DRESS,then,789.693,789.842,DH,N,865.4,1812.8,3170.9
2952,GraceG,F,1994,Manchester,DRESS,then,791.913,791.943,DH,N,768.6,1810.7,3010.4
2953,GraceG,F,1994,Manchester,TRAP,actually,798.313,798.452,EY1,K,919.3,1938.7,4047.8
2954,GraceG,F,1994,Manchester,PALM,far,799.132,799.262,F,R,977.6,1525.5,4549.4
2955,GraceG,F,1994,Manchester,KIT,is,799.372,799.483,T,Z,701.7,1990,3049
2956,GraceG,F,1994,Manchester,STRUT,up,800.043,800.093,IY0,P,544.7,1464.6,2841.1
2957,GraceG,F,1994,Manchester,LOT,kilometers,801.443,801.513,L,M,762.7,1299.1,2926.9
2958,GraceG,F,1994,Manchester,CHOICE,boiling,812.048,812.138,B,L,791.3,969.3,1393.6
2959,GraceG,F,1994,Manchester,FLEECE,peak,816.568,816.888,P,K,475.1,2718.2,3438.6
2960,GraceG,F,1994,Manchester,TRAP,and,817.678,817.898,T,N,754,1825.6,3065.4
2961,GraceG,F,1994,Manchester,PRICE,like,818.238,818.568,L,K,837.7,1669.2,2974.4
2962,GraceG,F,1994,Manchester,LOT,gotta,821.177,821.248,G,T,645.3,1379,2825.3
2963,GraceG,F,1994,Manchester,KIT,in,823.997,824.048,F,N,542.6,1985.6,2934.8
2964,GraceG,F,1994,Manchester,NURSE,shirt,824.938,824.968,SH,T,578.8,1774.4,2877.6
2965,GraceG,F,1994,Manchester,DRESS,wearing,828.467,828.567,W,R,733.7,1598.4,2699.2
2966,GraceG,F,1994,Manchester,TRAP,jacket,829.758,829.837,JH,K,756.5,1613.3,2892.7
